Site ID,TURF,C,G,S,Z,MA,OL,SEAG,DCA,CA,DC,SPR,U,TWS,points
BISC-P10a,5.26,0,52.63,5.26,0,0,0,0,0,0,0,36.84,0,5.26,19
BISC-P10a,5,0,60,0,0,5,0,0,0,0,0,30,0,0,20
BISC-P10a,0,0,27.78,16.67,0,5.56,0,0,0,0,0,50,0,11.11,18
BISC-P10a,0,0,72.22,0,0,0,0,0,0,0,0,27.78,0,11.11,18
BISC-P10a,0,0,40,5,0,0,0,0,0,5,0,50,0,0,20
BISC-P10a,0,0,31.58,0,0,0,0,0,0,10.53,0,57.89,0,5.26,19
BISC-P10a,0,0,57.89,0,0,0,0,0,0,0,0,42.11,0,5.26,19
BISC-P10a,0,0,0,0,0,0,0,26.32,0,0,0,73.68,0,5.26,19
BISC-P10a,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20
BISC-P10a,0,5.26,73.68,0,0,0,0,0,0,0,0,21.05,0,5.26,19
BISC-P10a,0,10,25,0,0,0,0,0,0,0,0,65,0,0,20
BISC-P10a,0,0,10,0,0,10,0,0,0,0,0,80,0,0,20
BISC-P10a,0,5,75,10,0,0,0,0,0,0,0,10,0,0,20
BISC-P10a,0,0,80,5,0,0,0,0,0,0,0,15,0,0,20
BISC-P10a,0,30,35,10,0,0,0,0,0,0,0,25,0,0,20
BISC-P10a,0,0,0,5.88,0,0,0,0,0,11.76,0,82.35,0,17.65,17
BISC-P10a,0,0,25,0,0,0,0,0,0,10,0,65,0,0,20
BISC-P10a,0,15.79,15.79,15.79,0,0,0,0,0,0,0,52.63,0,5.26,19
BISC-P10a,0,0,0,0,0,0,0,0,0,0,0,100,0,5.26,19
BISC-P11a,0,0,22.2,5.6,0,0,0,0,0,0,0,72.2,0,11.1,18
BISC-P11a,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20
BISC-P11a,0,0,0,0,0,0,0,0,0,0,0,100,0,5.3,19
BISC-P11a,0,5,0,5,0,5,0,0,0,0,0,85,0,0,20
BISC-P11a,0,0,50,5.6,0,11.1,0,0,0,0,0,33.3,0,11.1,18
BISC-P11a,0,26.3,15.8,0,0,36.8,0,0,0,0,0,21.1,0,5.3,19
BISC-P11a,0,0,63.2,0,0,5.3,0,0,0,0,0,31.6,0,5.3,19
BISC-P11a,0,5.3,52.6,0,0,26.3,0,0,0,5.3,0,10.5,0,5.3,19
BISC-P11a,0,11.1,11.1,0,0,44.4,0,0,0,0,0,33.3,0,11.1,18
BISC-P11a,0,5.3,21.1,5.3,5.3,21.1,0,0,5.3,5.3,0,31.6,0,5.3,19
BISC-P11a,0,0,78.9,0,0,15.8,0,0,0,0,0,5.3,0,5.3,19
BISC-P11a,0,5,60,0,0,20,0,0,0,0,0,15,0,0,20
BISC-P11a,0,0,50,10,0,0,0,0,5,0,0,35,0,0,20
BISC-P11a,0,21.1,36.8,0,0,21.1,0,0,0,10.5,0,10.5,0,5.3,19
BISC-P11a,0,0,52.6,0,0,31.6,0,0,0,5.3,0,10.5,0,5.3,19
BISC-P11a,0,0,80,0,0,0,0,0,0,0,0,20,0,0,20
BISC-P11a,0,10.5,47.4,0,0,15.8,0,0,0,0,0,26.3,0,5.3,19
BISC-P11a,0,5.3,68.4,0,0,0,0,0,0,0,0,26.3,0,5.3,19
BISC-P11a,0,0,66.7,0,0,16.7,0,0,5.6,0,0,11.1,0,11.1,18
BISC-P11a,0,0,5.6,22.2,0,0,0,0,0,0,0,72.2,0,11.1,18
BISC-P11a,0,5.3,26.3,10.5,0,0,0,0,5.3,0,0,52.6,0,5.3,19
BISC-P11a,0,21.1,36.8,0,0,0,0,0,0,0,0,42.1,0,5.3,19
BISC-P11a,5.6,0,27.8,0,0,5.6,0,0,0,0,0,61.1,0,11.1,18
BISC-P11a,5.3,10.5,0,0,0,0,0,0,0,0,0,84.2,0,5.3,19
BISC-P11a,0,0,0,10.5,0,0,0,0,0,0,0,89.5,0,5.3,19
BISC-P11a,5,15,0,0,0,30,0,0,0,0,0,50,0,0,20
BISC-P11a,0,0,72.2,5.6,0,16.7,0,0,0,0,0,5.6,0,11.1,18
BISC-P11a,5.3,5.3,57.9,0,0,0,0,0,0,0,0,31.6,0,5.3,19
BISC-P11a,0,0,5.6,16.7,0,55.6,5.6,0,0,0,0,16.7,0,11.1,18
BISC-P11a,0,0,5,35,0,10,0,0,0,0,0,50,0,0,20
BISC-P11a,0,0,5,0,0,20,0,0,0,15,0,60,0,0,20
BISC-P11a,0,5.3,10.5,10.5,0,10.5,0,0,5.3,0,0,57.9,0,5.3,19
BISC-P11a,0,20,25,0,0,10,0,0,0,0,0,45,0,0,20
BISC-P11a,0,30,25,10,0,5,0,0,0,10,0,20,0,0,20
BISC-P11a,0,0,80,10,0,0,0,0,5,0,0,5,0,0,20
BISC-P11a,0,0,68.4,0,0,15.8,0,0,0,0,0,15.8,0,5.3,19
BISC-P11a,5,30,5,0,0,15,0,0,5,0,0,40,0,0,20
BISC-P11a,0,31.6,42.1,0,0,5.3,0,0,0,5.3,0,15.8,0,5.3,19
BISC-P11a,0,5,30,5,0,10,0,0,0,5,0,45,0,0,20
BISC-P11a,0,0,10.5,5.3,0,57.9,0,0,0,0,0,26.3,0,5.3,19
BISC-P11a,0,0,60,0,0,5,0,0,0,0,0,35,0,0,20
BISC-P11a,5,0,15,5,0,20,0,0,0,0,0,55,0,0,20
BISC-P11a,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20
BISC-P11a,0,0,0,5,0,0,0,0,0,0,0,95,0,0,20
BISC-P11a,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20
BISC-P11a,0,0,20,20,0,0,0,0,5,0,0,55,0,0,20
BISC-P11a,0,10,0,0,0,0,0,0,0,0,0,90,0,0,20
BISC-P11a,0,0,10,0,0,0,0,0,5,0,0,85,0,0,20
BISC-P11a,0,25,55,0,0,0,0,0,0,0,0,20,0,0,20
BISC-P11a,0,0,26.3,15.8,0,0,0,0,0,0,0,57.9,0,5.3,19
BISC-P11a,5,0,40,15,0,20,0,0,0,5,0,15,0,0,20
BISC-P11a,0,10,35,0,0,5,0,0,0,0,0,50,0,0,20
BISC-P11a,0,5.3,26.3,5.3,0,0,0,0,0,0,0,63.2,0,5.3,19
BISC-P11a,0,20,50,0,0,0,0,0,0,25,0,5,0,0,20
BISC-P11a,0,5,85,0,0,5,0,0,0,0,0,5,0,0,20
BISC-P11a,0,0,50,10,0,5,0,0,0,0,0,35,0,0,20
BISC-P11a,5,5,40,0,0,0,0,0,0,15,0,35,0,0,20
BISC-P11a,0,0,77.8,5.6,0,0,0,0,0,0,0,16.7,0,11.1,18
BISC-P11a,0,0,70,0,0,5,0,0,0,5,0,20,0,0,20
BISC-P11a,15,5,55,5,0,0,0,0,0,10,0,10,0,0,20
